experiment,depth,variant,position,nodes,time_s,matchup,agent,opponent,seed,a_player,winner,a_won,plies,avg_move_time,a_nodes_per_move
E2,,,,,,Expectimax vs Random,Expectimax,Random,1022.0,1.0,1.0,1.0,5.0,0.015553641406586393,1056.6666666666667
E2,,,,,,Expectimax vs Random,Expectimax,Random,1023.0,2.0,2.0,1.0,6.0,0.004335097163372363,360.3333333333333
E2,,,,,,Expectimax vs Random,Expectimax,Random,1024.0,1.0,1.0,1.0,7.0,0.011532875006586047,839.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1025.0,2.0,2.0,1.0,6.0,0.012076236336724833,1064.3333333333333
E2,,,,,,Expectimax vs Random,Expectimax,Random,1026.0,1.0,1.0,1.0,7.0,0.01526405370844129,1106.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1027.0,2.0,2.0,1.0,6.0,0.006726097170030698,543.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1028.0,1.0,1.0,1.0,5.0,0.030978617002256216,2191.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1029.0,2.0,2.0,1.0,6.0,0.010270020832346441,896.6666666666666
E2,,,,,,Expectimax vs Random,Expectimax,Random,1030.0,1.0,1.0,1.0,7.0,0.011006124999507197,869.75
E2,,,,,,Expectimax vs Random,Expectimax,Random,1031.0,2.0,2.0,1.0,6.0,0.002886402828153223,261.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1032.0,1.0,1.0,1.0,5.0,0.032684441609308126,2247.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1033.0,2.0,2.0,1.0,6.0,0.0052528958331095055,442.3333333333333
E2,,,,,,Expectimax vs Random,Expectimax,Random,1034.0,1.0,1.0,1.0,7.0,0.007918559862965984,604.5
E2,,,,,,Expectimax vs Random,Expectimax,Random,1035.0,2.0,2.0,1.0,6.0,0.005901159670126314,522.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1036.0,1.0,1.0,1.0,7.0,0.005810071568703279,426.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1037.0,2.0,2.0,1.0,6.0,0.005944930822200452,505.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1038.0,1.0,1.0,1.0,5.0,0.018063541798619555,1288.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1039.0,2.0,2.0,1.0,6.0,0.011601680671446957,975.6666666666666
E2,,,,,,Expectimax vs Random,Expectimax,Random,1040.0,1.0,1.0,1.0,7.0,0.010248422718307535,708.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1041.0,2.0,2.0,1.0,6.0,0.0033461109997006133,285.6666666666667
E2,,,,,,Expectimax vs Random,Expectimax,Random,1042.0,1.0,1.0,1.0,5.0,0.028880550200119613,2010.6666666666667
E2,,,,,,Expectimax vs Random,Expectimax,Random,1043.0,2.0,1.0,0.0,3.0,0.004288736342762907,552.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1044.0,1.0,2.0,0.0,6.0,0.016292014164112818,1338.6666666666667
E2,,,,,,Expectimax vs Random,Expectimax,Random,1045.0,2.0,2.0,1.0,6.0,0.007490576327351543,620.3333333333334
E2,,,,,,Expectimax vs Random,Expectimax,Random,1046.0,1.0,1.0,1.0,7.0,0.013293166432829042,975.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1047.0,2.0,2.0,1.0,6.0,0.007325423832905169,604.6666666666666
E2,,,,,,Expectimax vs Random,Expectimax,Random,1048.0,1.0,1.0,1.0,7.0,0.0113643275690265,826.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1049.0,2.0,2.0,1.0,6.0,0.006323360823444091,519.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1050.0,1.0,1.0,1.0,7.0,0.010560368707436802,775.5
E2,,,,,,Expectimax vs Random,Expectimax,Random,1051.0,2.0,2.0,1.0,6.0,0.008217347499642832,697.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1052.0,1.0,1.0,1.0,5.0,0.011270708008669316,735.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1053.0,2.0,2.0,1.0,6.0,0.004773881839355454,407.3333333333333
E2,,,,,,Expectimax vs Random,Expectimax,Random,1054.0,1.0,1.0,1.0,7.0,0.008553035860781424,634.75
E2,,,,,,Expectimax vs Random,Expectimax,Random,1055.0,2.0,2.0,1.0,6.0,0.01306616649768936,1073.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1056.0,1.0,1.0,1.0,5.0,0.018521341803716496,1309.0
E2,,,,,,Expectimax vs Random,Expectimax,Random,1057.0,2.0,2.0,1.0,6.0,0.008365396162844263,732.3333333333334
E2,,,,,,Expectimax vs Random,Expectimax,Random,1058.0,1.0,1.0,1.0,7.0,0.013683767423831992,1021.25
E2,,,,,,Expectimax vs Random,Expectimax,Random,1059.0,2.0,2.0,1.0,6.0,0.009080555323938219,769.3333333333334
E2,,,,,,Expectimax vs Random,Expectimax,Random,1060.0,1.0,1.0,1.0,5.0,0.01928895841119811,1315.6666666666667
